SDSS_ID continuum continuum_lines powerlaw_exp powerlaw_norm
0389-51795-0192 4.69937001748041e-13 5.149212309340441e-13 -1.7043430558028563 5755557.472394372
0687-52518-0300 2.6543758135814533e-13 2.807733100403509e-13 -1.0701252825174796 23686.95261551777
0390-51900-0345 3.907278873423714e-13 4.241835875650005e-13 0.1599870376087961 1.7541468023845668
1905-53706-0475 8.432186478815318e-13 8.94221506231313e-13 -1.89678850690098 44910290.497950695
0394-51913-0604 4.264356608942758e-13 4.567892727242354e-13 -1.1080611352846492 51259.53053894152
0394-51913-0401 2.7305660063651397e-13 2.9630918037885877e-13 -1.5104576428666918 752462.8311228737
0393-51794-0231 9.169342321470243e-13 9.778209601190637e-13 -1.561577100285365 3748355.421135042
0393-51794-0558 3.329278390958429e-13 3.502651568634126e-13 -1.4238533396078064 469509.12943041546
0393-51794-0455 5.854230694825667e-13 6.068268540389809e-13 -1.5432883862988382 2078437.8046062621
0393-51794-0489 1.0377213124981626e-12 1.0789058324707462e-12 -1.9035078953666837 58169380.76582
1905-53706-0048 3.525919100284652e-13 3.7594759521335627e-13 -1.518330475248962 1032532.9676374072
0394-51913-0522 6.308225900138403e-13 6.570848814338882e-13 -1.5910869547836977 3236871.214901665
0395-51783-0044 4.976355613246304e-13 5.138750034025905e-13 -1.286268152213321 240964.77018853353
0392-51793-0623 1.049935401552858e-12 1.1144748389584654e-12 -1.7284814931224441 15471370.673194619
0691-52199-0442 4.048363956625827e-13 4.26736849405651e-13 -1.5272375966077867 1269897.8426648364
0394-51913-0114 7.805791040051174e-13 8.313884103375302e-13 -1.9417860202802708 58538421.44502043
0394-51913-0184 4.625492058400053e-13 4.943060193861657e-13 -1.7079529989045061 5824009.493386336
0394-51913-0172 5.00826693910854e-13 5.173153039530934e-13 -1.3857628986336394 525661.979933166
0691-52199-0420 5.033510933553427e-13 5.272999757445129e-13 -1.4010290400977101 594735.8459793945
0393-51794-0369 6.863939654027952e-13 7.535258662852057e-13 -0.38409674170468333 259.3005487659366
0690-52261-0598 3.6977786232135064e-13 4.0923704988736055e-13 -0.3604886849114537 115.44872900394003
0395-51783-0510 2.645212785713099e-12 2.792417257698244e-12 -1.7298726997523288 39396144.99622494
0394-51913-0495 2.893070512121946e-13 3.066273837658267e-13 -1.458546710461337 533728.4557532052
0394-51913-0099 8.825793351795327e-13 9.32385981947116e-13 -1.2154055919501814 245862.06128206363
0393-51794-0228 3.7278680637221265e-13 3.910791527939643e-13 -1.2773495247086042 168391.812036098
0394-51913-0426 4.890311449242669e-13 5.115114918524515e-13 -1.2794995600472074 224633.1856984458
0394-51913-0109 6.670058649987753e-13 6.906159350555432e-13 -1.5074853928589296 1796359.9453575113
0691-52199-0313 5.949219965477967e-13 6.35196322336366e-13 -1.355753931402408 494633.65308553196
0395-51783-0443 6.223866929282708e-13 6.632819088880019e-13 -1.509384523850155 1700958.2679915393
0394-51913-0381 5.480424738279398e-13 5.712093978739731e-13 -1.7868803128815351 12624045.195297292
0691-52199-0362 6.213628084126095e-13 6.543120394942765e-13 -1.5344483346035658 2060620.9783404346
0692-52201-0471 3.2100475608228935e-13 3.341203095234031e-13 -1.8264306155369923 10001293.19132599
0395-51783-0452 1.9005978501566584e-12 2.011801699502724e-12 -1.2530715071296632 710454.8499607543
0394-51913-0452 1.1745249780352522e-12 1.2771188442385144e-12 -1.3868421193055434 1243135.4077566508
0393-51794-0495 5.84599375750343e-13 6.175082722224285e-13 -1.1936992231686236 137439.6066175647
1905-53706-0013 1.7525861289303411e-13 1.9012611459396364e-13 -0.9038330777616344 4214.892944778486
0692-52201-0209 5.621260966095811e-13 5.934494901960818e-13 -1.3039919114146818 312480.8257423455
0693-52254-0435 1.8806530582223714e-12 1.9615853166307756e-12 -1.774036553796097 39269762.92629241
0395-51783-0457 6.47945892023416e-13 6.772026651278002e-13 -1.7113976332958718 8376594.204223434
1083-52520-0381 3.6893877820443866e-13 3.897799386654618e-13 -0.9977452833170464 18625.74449586503
0394-51913-0375 6.448640237838574e-13 6.773516872717855e-13 -1.3102909610386988 376489.61567905353
0394-51913-0167 6.785903119205451e-13 7.049019433556409e-13 -1.1769074414604275 139899.45780857286
0394-51913-0627 6.336223040131896e-13 6.708790409247837e-13 -1.7394077520601323 10151470.681659805
0393-51794-0446 7.640794126297606e-13 7.853844904227698e-13 -1.5715006473080775 3371705.1922335094
0394-51913-0136 7.806119438038891e-13 8.400295210872498e-13 -1.4372298850391143 1221042.612240566
0394-51913-0454 7.770075970512525e-13 8.06891171815624e-13 -1.7061842938274934 9651662.618015047
0393-51794-0585 1.1009029575971078e-12 1.1657761394512301e-12 -1.7910062821474102 26171293.454082422
1132-52903-0510 6.470123572352568e-12 7.420413438397057e-12 -0.9141085107249637 168778.07533295976
0393-51794-0298 5.987612967856538e-13 6.343322568352785e-13 -1.3150133045819523 362660.21994522493
0395-51783-0401 4.0822325017540395e-13 4.333578642402432e-13 -1.4127878195409376 528380.5926716572
0395-51783-0454 1.0978547679352181e-12 1.138431689284967e-12 -1.5093506918774278 2999609.9441645723
0692-52201-0277 3.20129921737921e-13 3.3777406698766077e-13 -1.5748776915750993 1449891.591208086
0393-51794-0152 4.498187731313416e-13 4.638403361769558e-13 -0.7693385520587224 3722.414994669184
0394-51913-0242 3.35731444062183e-13 3.5454026615473474e-13 -1.1384225029052024 51205.200503893466
0394-51913-0353 2.6548989397502246e-13 2.844636580767398e-13 -1.4511538631373755 462553.4001323063
1085-52531-0419 6.753029676740566e-13 7.134982404308668e-13 -1.7164147896428181 9072418.828461703
0394-51913-0192 3.5973001422811715e-13 3.7051872012019276e-13 -1.5667366960164548 1530196.1256038575
0392-51793-0069 7.980204867169704e-13 8.565764594744043e-13 -1.596995550570666 4285327.770262726
0395-51783-0347 1.2703796249848346e-12 1.3537099723375133e-12 -1.558180164268179 5059010.076243587
0395-51783-0377 1.2740840339739715e-12 1.387348896763199e-12 -1.7101093298989558 16309445.220054088
0393-51794-0201 8.2349151803028e-13 9.380037564132856e-13 -1.567925367559575 3535145.111022038
0394-51913-0397 8.190640366751271e-13 8.670030121841085e-13 -1.6084754425672934 4804532.660346546
0383-51818-0506 7.428219915327506e-13 8.409313687302213e-13 -1.4715625725699695 1515566.7853334066
0383-51818-0147 3.5250221712022e-13 3.6486301862464043e-13 -0.8527462226170539 5656.79659893879
1485-52992-0008 8.700629355022245e-13 9.657878821772633e-13 -1.320401353706905 549546.7102916363
0680-52200-0250 3.341851168288894e-13 3.501898263949007e-13 -0.33305245323063637 83.58746961220912
0384-51821-0558 1.4617960167675007e-12 1.5435541326296884e-12 -1.6517799102718593 11961419.369011128
0385-51877-0395 4.879150297139196e-13 5.106563625413212e-13 -1.5836729987876395 2364677.6805309737
0385-51877-0275 2.7975812860572514e-12 2.9334458392021416e-12 -1.6474529848041395 22143428.777650148
0384-51821-0585 3.922152946203856e-13 4.170785077758307e-13 -1.2566280274889206 150736.84790778396
0384-51821-0247 2.2070403376038217e-12 2.312646349204833e-12 -1.7521110736650274 38970108.37999458
0382-51816-0595 2.904209161634905e-13 3.042809723815254e-13 -1.1839215126439389 63251.26230907342
0383-51818-0298 3.574888839093869e-13 3.769223958375858e-13 -1.2354699528882203 116480.6116453957
0385-51877-0229 5.518265867629834e-13 5.69353406895135e-13 -0.8930241622827214 12183.313317992663
0384-51821-0445 9.836140461112095e-13 1.0185605715661154e-12 -1.5229289087312645 2984503.2168499897
0384-51821-0614 1.1566264315478226e-12 1.1932274354586211e-12 -1.705643042044653 14307649.904038258
